"ID";"Site";"Habitat";"Habitat_assigned"
"ID110";"AK";"Non-upwelling";"Saline"
"ID111";"AK";"Non-upwelling";"Non-upwelling"
"ID112";"AK";"Non-upwelling";NA
"ID142";"AK";"Non-upwelling";"Non-upwelling"
"ID143";"AK";"Non-upwelling";"Non-upwelling"
"ID144";"AK";"Non-upwelling";"Upwelling"
"ID158";"AK";"Non-upwelling";"Non-upwelling"
"ID241";"FR";"Non-upwelling";"Brackish"
"ID262";"FR";"Non-upwelling";NA
"ID263";"FR";"Non-upwelling";"Saline"
"ID264";"FR";"Non-upwelling";"Non-upwelling"
"ID266";"FR";"Non-upwelling";"Brackish"
"ID267";"FR";"Non-upwelling";"Non-upwelling"
"ID268";"FR";"Non-upwelling";"Brackish"
"ID292";"AB";"Non-upwelling";"Saline"
"ID293";"AB";"Non-upwelling";"Non-upwelling"
"ID294";"AB";"Non-upwelling";"Non-upwelling"
"ID295";"AB";"Non-upwelling";"Non-upwelling"
"ID296";"AB";"Non-upwelling";"Saline"
"ID297";"AB";"Non-upwelling";"Non-upwelling"
"ID298";"AB";"Non-upwelling";"Non-upwelling"
"ID299";"AB";"Non-upwelling";"Non-upwelling"
"ID300";"AB";"Non-upwelling";"Upwelling"
"ID301";"AB";"Non-upwelling";"Non-upwelling"
"ID302";"AB";"Non-upwelling";"Non-upwelling"
"ID303";"AB";"Non-upwelling";"Non-upwelling"
"ID304";"AB";"Non-upwelling";"Upwelling"
"ID305";"AB";"Non-upwelling";"Non-upwelling"
"ID306";"AB";"Non-upwelling";"Non-upwelling"
"ID307";"AB";"Non-upwelling";"Non-upwelling"
"ID308";"AB";"Non-upwelling";"Brackish"
"ID309";"AB";"Non-upwelling";"Non-upwelling"
"ID310";"AB";"Non-upwelling";"Non-upwelling"
"ID311";"AB";"Non-upwelling";"Non-upwelling"
"ID312";"AB";"Non-upwelling";"Non-upwelling"
"ID313";"AB";"Non-upwelling";"Non-upwelling"
"ID314";"AB";"Non-upwelling";"Non-upwelling"
"ID315";"AB";"Non-upwelling";"Non-upwelling"
"ID316";"AB";"Non-upwelling";NA
"ID317";"AB";"Non-upwelling";"Non-upwelling"
"ID318";"AB";"Non-upwelling";"Non-upwelling"
"ID319";"AB";"Non-upwelling";"Non-upwelling"
"ID320";"AB";"Non-upwelling";"Non-upwelling"
"ID321";"AB";"Non-upwelling";"Non-upwelling"
"ID391";"GU";"Upwelling";"Brackish"
"ID392";"GU";"Upwelling";"Brackish"
"ID393";"GU";"Upwelling";"Brackish"
"ID394";"GU";"Upwelling";"Non-upwelling"
"ID395";"GU";"Upwelling";"Brackish"
"ID396";"GU";"Upwelling";"Non-upwelling"
"ID403";"GU";"Upwelling";"Non-upwelling"
"ID427";"MA";"Upwelling";"Brackish"
"ID428";"MA";"Upwelling";"Brackish"
"ID429";"MA";"Upwelling";"Brackish"
"ID430";"MA";"Upwelling";"Brackish"
"ID431";"MA";"Upwelling";"Brackish"
"ID432";"MA";"Upwelling";"Upwelling"
"ID433";"MA";"Upwelling";"Brackish"
"ID434";"MA";"Upwelling";"Brackish"
"ID435";"MA";"Upwelling";"Brackish"
"ID436";"MA";"Upwelling";"Brackish"
"ID437";"MA";"Upwelling";"Brackish"
"ID438";"MA";"Upwelling";"Brackish"
"ID439";"MA";"Upwelling";"Brackish"
"ID440";"MA";"Upwelling";"Brackish"
"ID441";"MA";"Upwelling";"Brackish"
"ID442";"MA";"Upwelling";"Brackish"
"ID443";"MA";"Upwelling";"Brackish"
"ID516";"MA";"Upwelling";"Brackish"
