"ID";"Site";"Habitat";"Mg24";"Al27";"Cr52";"Fe57";"Cu65";"Zn66";"Ba138";"Pb208";"pred_adult_core"
"ID110";"AK";"Non-upwelling";464.8965493;40.74588395;3.241680127;34.41193179;0.39617394;7.568364519;2.616106773;0.080058521;"Marine"
"ID110";"AK";"Non-upwelling";387.9405668;10.96346502;0;39.19520077;2.136413085;2.243073217;3.214958581;0.023463087;"Marine"
"ID110";"AK";"Non-upwelling";527.8823833;15.99154726;0;37.78710768;0.188310871;4.999707952;3.572644573;0.034266851;"Brackish"
"ID110";"AK";"Non-upwelling";349.8124553;6.640205902;0;46.81152885;0.714871093;1.510150812;3.387543632;0.010490657;"Brackish"
"ID110";"AK";"Non-upwelling";371.5270578;18.54048322;0;46.61667013;0.099995361;1.873636058;3.522016797;0.209256049;"Brackish"
"ID110";"AK";"Non-upwelling";346.7993583;8.455672943;1.466430597;48.37181681;0.067653576;0.895526867;3.022396201;0.024057348;"Saline"
"ID110";"AK";"Non-upwelling";740.0995563;5.455592335;0;53.5432372;0.155960379;1.153518405;2.967735083;0.021881177;"Marine"
"ID110";"AK";"Non-upwelling";372.4844536;4.077538716;0;57.54836939;0.123684531;1.548008485;3.10571814;0.030406763;"Saline"
"ID110";"AK";"Non-upwelling";367.0735962;10.0537722;0;54.4320842;0.026279189;3.941055806;2.535642471;0.034112305;"Saline"
"ID110";"AK";"Non-upwelling";361.9615587;50.01049389;6.92100675;67.19727031;0.485727727;6.569299401;2.426745265;0.008811317;"Saline"
"ID110";"AK";"Non-upwelling";323.4062205;9.438647244;4.493751147;61.94500118;0.155085348;4.048561887;2.200913719;0.005886694;"Saline"
"ID110";"AK";"Non-upwelling";296.5880718;7.85379699;0.549107637;58.6334665;0.120554633;2.55116526;2.208135566;0.022669406;"Saline"
"ID110";"AK";"Non-upwelling";294.0712473;10.08091115;0;77.27875225;0.346961219;2.319992423;3.194944593;0.013680888;"Saline"
"ID110";"AK";"Non-upwelling";306.0810599;5.814626812;2.647461725;66.29355265;0.346160369;3.363151811;2.579589121;0.025758311;"Saline"
"ID110";"AK";"Non-upwelling";368.975393;84.45962127;3.469239395;66.87069347;0.528362693;6.712542098;2.606282272;0.040642341;"Saline"
"ID110";"AK";"Non-upwelling";346.1369592;26.35947108;1.346594953;69.30629872;0.381322787;4.219904903;1.97232589;0.014735253;"Saline"
"ID110";"AK";"Non-upwelling";300.8653673;7.436787076;0;75.09670937;0.45713477;3.218775128;2.190074416;0.030258462;"Non-upwelling"
"ID110";"AK";"Non-upwelling";272.238136;8.498313349;0;77.98548238;0.469932831;3.437705989;2.763018007;0.034300185;"Saline"
"ID110";"AK";"Non-upwelling";286.5883086;10.3279545;0;87.08473402;0.128551508;2.783410192;2.444091525;0.004744627;"Saline"
"ID110";"AK";"Non-upwelling";273.5260364;6.687155649;0.217584367;96.97469493;0.117933607;2.572786375;2.973977616;4.455393427;"Saline"
"ID110";"AK";"Non-upwelling";333.5368535;9.503664924;0.524480883;86.4304643;0.40626209;1.549225498;2.679494464;0.010836579;"Non-upwelling"
"ID110";"AK";"Non-upwelling";262.6473219;5.626455404;0.818034071;83.64644098;0.140957687;5.520611771;2.835070548;0.030404733;"Saline"
"ID110";"AK";"Non-upwelling";317.1455275;15.61492812;1.124930587;73.03163965;0.871381468;12.83340195;2.166218754;0.277738081;"Non-upwelling"
"ID110";"AK";"Non-upwelling";300.9084453;19.60647802;1.431827102;83.94545936;0.976992682;9.371382005;2.716802243;0.527718058;"Non-upwelling"
"ID110";"AK";"Non-upwelling";528.3437446;6.071643243;2.490964866;99.93643404;0.550252693;6.68614655;2.180556212;0.027921426;"Saline"
"ID110";"AK";"Non-upwelling";265.1511688;8.486878412;4.254073339;91.16661348;0.044171233;1.677115989;2.214821625;0.006322587;"Non-upwelling"
"ID110";"AK";"Non-upwelling";273.2171825;8.287240212;2.573950105;88.05287936;0.126806039;1.047237053;2.162779675;0.003821263;"Saline"
"ID110";"AK";"Non-upwelling";263.7701667;7.203420908;2.63272651;81.91133333;0.259873153;2.680162228;1.878555322;0.007688876;"Non-upwelling"
"ID110";"AK";"Non-upwelling";228.823329;2.391163597;2.939623025;78.85925376;0.188632781;1.161119697;1.617242758;0.117969179;"Saline"
"ID110";"AK";"Non-upwelling";285.4104601;402.2305435;2.262164714;93.74451923;1.515147563;16.26094534;1.399264676;0.026758123;"Non-upwelling"
"ID110";"AK";"Non-upwelling";387.6777938;18.29833307;7.285385446;86.65416706;1.640987086;15.69795921;1.626066947;0.037822809;"Non-upwelling"
"ID110";"AK";"Non-upwelling";426.9010608;18.05529807;1.723400038;87.55234973;4.247799765;3.16391183;2.493102915;0.023204282;"Saline"
"ID110";"AK";"Non-upwelling";300.4779693;71.44105296;3.435485231;77.26462613;0.519771824;5.640159776;1.485947445;0.005676014;"Non-upwelling"
"ID110";"AK";"Non-upwelling";251.829528;5.403603139;4.447418948;72.09657727;0.136407314;1.959768998;1.451712318;0.008943982;"Saline"
"ID110";"AK";"Non-upwelling";258.4160306;4.811577873;3.023317004;90.7087389;0.122363328;1.194380147;1.527606388;0.083607874;"Saline"
"ID110";"AK";"Non-upwelling";259.2851897;5.018643418;5.047868652;83.29122495;0.071897351;2.974871531;1.517673387;0.005301431;"Non-upwelling"
"ID110";"AK";"Non-upwelling";280.8750633;2.998508929;2.263012633;76.25933454;8.084445259;11.02656786;1.434460464;0.00746348;"Non-upwelling"
"ID110";"AK";"Non-upwelling";244.1460008;10.56497009;2.584242709;85.79892648;0.185890476;1.293007752;1.29088565;0.009235618;"Saline"
"ID110";"AK";"Non-upwelling";251.1713508;15.54322489;5.955214872;63.20146271;0.149779733;1.169132087;1.082448251;0.007221778;"Saline"
"ID110";"AK";"Non-upwelling";245.3559467;4.746379677;3.84718168;71.13465832;0.403843941;0.682161819;1.039911313;0.002900366;"Saline"
"ID110";"AK";"Non-upwelling";298.1247872;3.583873964;6.555664576;84.44436522;0.13441119;1.154592846;1.164640543;0.00784978;"Non-upwelling"
"ID110";"AK";"Non-upwelling";262.1996124;6.658778822;2.96072158;71.53712867;0.112249441;0.491034224;0.996291475;0.002655709;"Saline"
"ID110";"AK";"Non-upwelling";271.7555747;8.470544275;1.028842921;85.59000008;0.093909202;0.393263569;1.224122782;0.004563019;"Saline"
"ID110";"AK";"Non-upwelling";284.612606;4.245708313;7.463010795;125.1709807;0.231162957;0.698206883;1.332042116;0.010875495;"Upwelling"
"ID110";"AK";"Non-upwelling";242.8599812;7.589424021;2.314332341;76.61192534;0.107745528;0.332380622;1.125230097;0.079990278;"Saline"
"ID110";"AK";"Non-upwelling";244.5046906;3.72852005;8.076803825;87.11026879;0.567352657;0.406706264;1.141414029;0.008529341;"Upwelling"
"ID110";"AK";"Non-upwelling";238.3499584;4.059637728;3.515730492;74.98479925;0.178245106;5.268468765;1.074375943;0.042929054;"Saline"
"ID110";"AK";"Non-upwelling";287.0449058;4.341642658;6.997543584;75.92812918;0.203527717;0.42142365;0.959028433;0.003233939;"Upwelling"
"ID110";"AK";"Non-upwelling";255.291941;4.44641925;7.468928936;75.17959359;0.375146709;1.242448577;0.947986257;0.013577516;"Non-upwelling"
"ID110";"AK";"Non-upwelling";274.8363622;3.792919638;0.561663093;85.94375094;0.296447172;0.657596337;1.047479135;0.009171812;"Non-upwelling"
"ID110";"AK";"Non-upwelling";263.4834963;3.589621111;2.30611471;85.87973676;0.103761129;0.235391252;1.128760338;0.007710835;"Saline"
"ID110";"AK";"Non-upwelling";248.3017841;5.312817226;6.965544648;78.88247552;0.237439943;0.21488641;1.098190321;0.006453053;"Upwelling"
"ID110";"AK";"Non-upwelling";293.9930706;2.955598764;5.117670613;85.84950758;0.196502763;0.416797522;1.162710925;0.004682948;"Upwelling"
"ID110";"AK";"Non-upwelling";245.3690978;2.902737699;4.087025143;82.65936788;0.216648345;0.59176995;1.107635464;0.005456167;"Non-upwelling"
"ID110";"AK";"Non-upwelling";228.485453;2.667634239;6.382470302;76.1497051;0.238049689;0.406449233;1.071859189;0.003714682;"Saline"
"ID110";"AK";"Non-upwelling";242.4032868;5.218135912;7.169299149;315.3940271;0.532295699;2.193556265;0.877250901;0.057614813;"Non-upwelling"
"ID111";"AK";"Non-upwelling";335.7394084;4.216485258;35.03617492;10.70996112;0.413782275;7.560828202;2.275974819;0.006152853;"Non-upwelling"
"ID111";"AK";"Non-upwelling";313.0020443;4.901377233;42.19805446;10.69963518;0.371024704;8.26363711;2.930010363;0.009685676;"Non-upwelling"
"ID111";"AK";"Non-upwelling";334.6771925;21.76646486;49.74486094;5.265295914;1.273728441;2.693638999;4.036349409;0.010468712;"Brackish"
"ID111";"AK";"Non-upwelling";319.6214248;5.826491161;32.53988589;17.4487875;0.553813112;2.661437668;3.804151802;0.007720307;"Brackish"
"ID111";"AK";"Non-upwelling";302.0791105;20.50413114;45.71620169;11.77709702;0.590882458;6.720199076;3.2453378;0.002694025;"Non-upwelling"
"ID111";"AK";"Non-upwelling";318.7503453;2.73913492;29.99117875;12.86344677;0.301095773;4.667015093;3.03707411;0.002962629;"Non-upwelling"
"ID111";"AK";"Non-upwelling";616.4667008;40.91443672;43.41066787;15.85854486;0.197157496;5.187544027;2.533601867;0.002443213;"Non-upwelling"
"ID111";"AK";"Non-upwelling";294.0556649;3.321053794;34.9558605;16.53020255;0.306254183;8.611581112;2.017081967;0.022504775;"Non-upwelling"
"ID111";"AK";"Non-upwelling";315.5833816;2.36037022;37.68246754;8.68432165;0.527771685;8.152791614;1.465749561;0.003176759;"Non-upwelling"
