"Site";"ID";"Mg24";"Al27";"Cr52";"Fe57";"Cu65";"Zn66";"Rb85";"Sr87";"Ba138";"Pb208";"Habitat";"Day";"Month";"Year";"Season";"lat";"lon";"TL";"FL";"SL";"Weight";"Fulton"
"AB";"ID292";394.87452998;5.6432849674;3.4628502166;52.15684254;0.9886750662;1.1699570266;0.1966497622;2223.4433824;0.9388056972;0.0304088674;"Non-upwelling";NA;"FEB";2023;"Late wet";"-17.962903";"-38.707387";676;641;563;4467;1.44602521044442
"AB";"ID293";383.01192068;6.4724807626;34.782846996;15.273088397;0.4177495336;6.1460135078;0.4909281172;2774.0432922;0.972443043;0.011038613;"Non-upwelling";NA;"FEB";2023;"Late wet";"-17.962903";"-38.707387";600;564;491;2774;1.28425925925926
"AB";"ID294";403.26008332;7.769932741;38.897965978;21.317864772;0.30856183;4.693473625;0.2614807102;2327.0679358;1.1755737096;0.0062524964;"Non-upwelling";NA;"FEB";2023;"Late wet";"-17.962903";"-38.707387";751;709;625;6194;1.46235020392431
"AB";"ID295";398.6137291;5.3203858634;24.774800578;10.1564340662;0.41419516;4.3405859958;0.3150680738;2583.0639436;0.5809716054;0.0073116152;"Non-upwelling";NA;"FEB";2023;"Late wet";"-17.962903";"-38.707387";616;590;521;3820;1.63426028348444
"AB";"ID296";397.13815498;79.638195368;0.0887688314;58.612453286;1.0928894792;2.8341371144;0.434411352;2058.670101;0.7617486956;0.0134521166;"Non-upwelling";NA;"FEB";2023;"Late wet";"-17.962903";"-38.707387";557;528;451;2490;1.44089973529283
"AB";"ID297";325.34926852;7.3183066674;4.9047676998;35.005953514;0.2130016666;0.926847817;0.3837238478;2788.1725786;0.4573005568;0.0121737252;"Non-upwelling";NA;"FEB";2023;"Late wet";"-17.962903";"-38.707387";465;440;379;1376;1.36854655333391
"AB";"ID298";428.08428812;82.269793544;14.213481856;32.655834032;0.5679297366;4.8801054426;0.6881011806;2383.9908632;0.4763419248;0.0355973964;"Non-upwelling";NA;"FEB";2023;"Late wet";"-17.962903";"-38.707387";433;419;366;1235;1.52125937808675
"AB";"ID299";357.29851092;24.229173516;33.030443924;23.877747966;0.6130588218;1.8972166046;0.162923161;2381.6598322;0.6620915936;0.0403038366;"Non-upwelling";NA;"FEB";2023;"Late wet";"-17.962903";"-38.707387";581;556;482;3149;1.60562552445101
"AB";"ID300";372.4727573;6.5781272696;25.339853616;19.0708614276;0.3558596386;0.8811123434;0.1991789782;2755.2644118;1.666885145;0.008859849;"Non-upwelling";NA;"FEB";2023;"Late wet";"-17.962903";"-38.707387";513;480;411;1971;1.45993839059992
"AB";"ID301";434.04481164;13.7698885448;13.720431556;35.099594324;1.0618643932;5.4719447788;0.2097189232;2650.7051068;0.7979946728;0.0122771932;"Non-upwelling";NA;"FEB";2023;"Late wet";"-17.962903";"-38.707387";515;494;426;2207;1.61577411375394
"AB";"ID302";611.34123518;47.160990722;33.246197926;15.873102001;0.4510556002;1.6832630834;0.4339867862;2221.3113958;0.6448187238;0.08732549;"Non-upwelling";NA;"FEB";2023;"Late wet";"-17.962903";"-38.707387";551;519;443;2291;1.3695260347766
"AB";"ID303";479.19728578;2.9772477038;4.1363710972;13.8054379194;0.2869436248;2.7389033342;0.3831866624;2568.7317114;0.3626185274;0.0070801084;"Non-upwelling";NA;"FEB";2023;"Late wet";"-17.962903";"-38.707387";372;355;302;775;1.50547269433846
