"ID";"Site";"Habitat";"Mg24";"Al27";"Cr52";"Fe57";"Cu65";"Zn66";"Rb85";"Sr87";"Ba138";"Pb208";"TL";"FL";"SL";"Weight";"Fulton";"Season";"Month";"Year"
"ID292";"AB";"Non-upwelling";223.5685124;8.2070894054;14.666651818;67.942933176;0.0772298748;0.2120057836;0.208708199;2800.6039362;0.4852690202;0.0129738584;676;641;563;4467;1.44602521044442;"Late wet";"FEB";2023
"ID293";"AB";"Non-upwelling";279.61384632;27.1788641144;27.231959188;66.351276184;0.4623286582;1.4973266714;0.3247359314;2993.9260476;0.871258174;0.0067092832;600;564;491;2774;1.28425925925926;"Late wet";"FEB";2023
"ID294";"AB";"Non-upwelling";266.18971386;6.895638752;34.612108758;55.82052134;0.126182216;0.386873533;0.2827407314;2949.4869836;0.7007587016;0.0025732844;751;709;625;6194;1.46235020392431;"Late wet";"FEB";2023
"ID295";"AB";"Non-upwelling";262.65772594;1.1314757288;22.369437188;35.499473762;0.0214839922;0.114567705;0.2215261848;2995.163557;0.320881798;0.0003810334;616;590;521;3820;1.63426028348444;"Late wet";"FEB";2023
"ID296";"AB";"Non-upwelling";224.70318398;4.0511038234;12.1223115422;66.526810748;0.0598608382;0.2578619418;0.3181599042;2784.0084554;0.5549507464;0.0022675238;557;528;451;2490;1.44089973529283;"Late wet";"FEB";2023
"ID297";"AB";"Non-upwelling";230.73869972;1.9219199632;11.1582734946;45.855146062;0.0591323148;0.0739649398;0.313437916;2845.486487;0.3869996924;0.0102606568;465;440;379;1376;1.36854655333391;"Late wet";"FEB";2023
"ID298";"AB";"Non-upwelling";232.26146138;3.6640811322;8.9962198054;47.365161754;0.2119038394;0.8408223238;0.3430792932;2799.4936004;0.7169050698;0.005314244;433;419;366;1235;1.52125937808675;"Late wet";"FEB";2023
"ID299";"AB";"Non-upwelling";262.26479138;7.107812426;31.778423914;76.42090581;0.0290532684;0.415788556;0.2011118172;3255.4099434;0.9157071328;0.0070150056;581;556;482;3149;1.60562552445101;"Late wet";"FEB";2023
"ID300";"AB";"Non-upwelling";243.26613546;9.2950539424;27.284983484;51.205232304;0.1787352968;0.3101491346;0.2818711538;3074.292711;0.6894621006;0.0064645448;513;480;411;1971;1.45993839059992;"Late wet";"FEB";2023
"ID301";"AB";"Non-upwelling";254.01767888;5.9368722884;14.941760194;53.693769078;0.1720545024;0.136795608;0.1456638454;2969.9933442;0.4831284756;0.007021711;515;494;426;2207;1.61577411375394;"Late wet";"FEB";2023
