"ID";"Habitat";"Mg24";"Al27";"Cr52";"Fe57";"Cu65";"Zn66";"Ba138";"Pb208"
"ID315";"Non-upwelling";277.0989987;0.23746312;20.5531279;11.64837442;0.029696193;0.083720155;0.308639087;0
"ID440";"Upwelling";231.9339836;4.415096813;15.86831622;48.06138446;0.86796486;0.457607392;0.907775983;0.005777676
"ID160";"Brackish";227.4491971;3.731604907;21.00527081;50.18307821;0.111481968;0.204963642;3.112902655;0.012783465
"ID346";"Saline";227.2666259;0.376088444;12.50132514;5.828791545;0.006956863;0;2.075817877;0.00039071
"ID461";"Brackish";202.4991616;2.723119762;13.02518395;122.3813445;0.118705652;0.35371073;0.834237935;0.000997987
"ID092";"Saline";207.3104114;10.03086888;9.13315314;55.68331548;0.013531595;0.629374681;0.974992292;0.014659087
"ID110";"Non-upwelling";263.0499619;9.746483217;25.44777938;57.31845567;0.188823055;0.452487863;0.820131419;0.004429386
"ID346";"Saline";217.5433676;1.688187594;12.01804902;8.486696294;0.00043047;0.475866811;1.820805976;0.003205225
"ID305";"Non-upwelling";321.7419232;4.373214403;69.11107947;0;0;0.566612613;1.047377156;0.006083454
"ID470";"Brackish";213.4705773;0;13.85865424;54.54593687;0.257516347;0.2300278;31.01276021;0.003146931
"ID460";"Brackish";231.9454668;11.0672873;12.0481838;1.999103862;0.205646158;0.669410807;59.46053574;0.0080805
"ID309";"Non-upwelling";229.8831052;7.67621429;1.617014859;82.7393955;0.057903986;0.56889811;0.351770426;0.032311555
"ID260";"Brackish";234.9595065;3.963271686;17.68825926;39.52968145;0.07302773;0.365177483;45.71040848;0.001140562
"ID489";"Brackish";273.0000839;2.123415654;41.48614483;20.27245762;0.497986304;0;9.959467697;0.03468592
"ID473";"Brackish";227.6324915;3.258895802;10.71663481;58.01438322;0.058895014;0.121676543;36.92247405;0.003375826
"ID446";"Brackish";335.4683496;5.392640993;9.393993163;82.09632056;0.215901041;2.802958856;71.30502345;0.094511806
"ID262";"Non-upwelling";216.5644208;5.044635174;19.620242;35.19166029;0.079622378;1.017012288;0.63124591;0.004766601
"ID193";"Marine";232.7168634;0.741603628;2.838555627;59.62120434;0.053896405;0.071777561;0.36545606;0.008024188
"ID350";"Saline";215.9357136;1.624806734;10.2599617;106.5720925;0.124533928;0.252039768;0.74978685;0.003458132
"ID385";"Brackish";224.6762235;1.60182828;20.54576669;0;0.058732786;0.292883707;28.42176109;0.001841159
"ID298";"Non-upwelling";238.329689;7.131091945;8.669563735;45.67145983;0.109464834;0.283746079;0.730853971;0.000174058
"ID442";"Upwelling";209.2016365;0.013762288;26.75903074;36.21842444;0.008464378;0.929872126;1.177671698;0.066668339
"ID434";"Upwelling";249.7982947;1.884245927;8.225410381;78.19902981;0.085637061;0.041593002;1.113676426;0.003089593
"ID326";"Brackish";203.8821625;2.275324074;19.75695413;51.41371513;0.013696254;0.165400717;29.66009793;0.002159956
"ID160";"Brackish";219.469167;6.350364071;10.87517572;55.43164781;0.131336;1.383359711;2.448156869;0.013301342
"ID253";"Brackish";235.7204693;4.639984906;22.26930876;54.61727353;0.374672945;0.828257707;33.34885992;0.001309793
"ID300";"Non-upwelling";277.7185588;10.78538247;26.45081954;58.22576421;0.107146545;0.38047936;0.832000299;0.003358739
"ID443";"Upwelling";239.6254542;2.45540079;17.71003084;71.24591707;0.947232034;0.198537227;1.505055542;0.023247271
"ID161";"Brackish";233.3812642;1.195396806;21.60351115;67.62071442;0.23830299;0.157127997;7.118327028;0.001092162
"ID357";"Saline";229.960796;1.843646324;19.99093239;66.59531784;0.20546482;2.633967313;4.725561205;0.010814769
"ID321";"Non-upwelling";215.1819845;5.414192786;5.819831875;84.8787967;0.010732231;0.253703632;0.42099818;0.007036246
"ID355";"Saline";249.0728458;2.069206059;0;73.87570102;0.054041444;0.314749737;1.625054452;0.067418745
"ID104";"Saline";206.3660166;5.03726142;8.323162055;100.1585217;0.248068884;0.69900873;108.8628574;9.88e-05
"ID105";"Saline";222.7418437;4.752795209;8.90944592;74.21834622;0.196903234;0.061781608;0.549149013;0.004044464
"ID069";"Marine";377.0521294;5.971640301;11.20465812;47.91370829;0.158274611;0.106555553;0.492631698;0.007505391
"ID408";"Marine";208.7877531;1.620169746;14.50636523;49.50521456;0.118807672;0.462517284;37.25368368;0.002390576
