Sample;Month;Year;Season;Site;tide;Temp;Sal;ph;ORPmV;mS_cm;NTU;mg_L_OD;OD;g_l_TDS;ppt;oT;m;Mg24w;Al27w;K39w;Ca43w;Ca44w;V51w;Cr52w;Mn55w;Fe57w;Ni58w;Co59w;Cu65w;Zn66w;As75w;Se82w;Rb85w;Sr88w;Ag107w;Cd114w;Ba138w;Hg202w;Pb208w;U238w;MgCa;AlCa;KCa;CaCa;VCa;CrCa;MnCa;FeCa;NiCa;CoCa;CuCa;ZnCa;AsCa;SeCa;RbCa;SrCa;AgCa;CdCa;BaCa;HgCa;PbCa;UCa
A001;JUL;2022;Late dry;Sao Mateus;low;24.03;4;8.46;144;8.54;24.3;8.38;102.3;5.38;4.7;1;0.9;28248.32033;27.96323087;492.2511475;781.6936221;1342.242879;0.020186816;0.157583365;9.197382424;4.143904691;0.252238688;0.087701284;0.12845667;0.664430817;0.008227364;0.143489526;0.057041047;31.7042571;0;0.023846621;0.793853644;0;0.44251247;0;36137329.94;35772.62252;629723.8887;1717095.857;25.82446049;201.5922352;11765.96836;5301.187798;322.6822901;112.1939356;164.3312245;849.9887908;10.52504924;183.5623598;72.97110422;40558.41855;0;30.50635278;1015.555995;0;566.0945127;0
A002;JUL;2022;Late dry;Sao Mateus;high;22.87;20;8.64;140;32.2;6.5;6.56;85.6;19.6;NA;12.8;1;29088.07797;15.76439311;446.1138606;766.4558614;1301.146291;0.018039011;0.263033852;1.272802289;3.850363491;0.212851389;0.033014761;0.076903248;0.853823468;0.012828955;0.150660811;0.075449995;32.06746444;0;0.022817133;0.86532596;0;0.278973404;0;37951406.51;20567.9073;582047.686;1697614.117;23.53561647;343.181995;1660.633512;5023.594553;277.708606;43.07457507;100.3361732;1113.98909;16.73802214;196.56815;98.4401046;41838.63162;0;29.76966279;1128.996468;0;363.9784336;0
A003;JUL;2022;Late dry;Guarapari;low;23.5;37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30399.27574;29.09280195;906.4687322;910.2077496;1580.12757;0.057197773;0.255160561;0.227219509;4.698311913;0.309841946;0.343121883;0.14207926;1.608476415;0.025972893;0.205898288;0.118061486;32.34765537;0;0.084072504;0.660639017;0;0.981646608;0.012276403;33398172.83;31962.81504;995892.1275;1736007.599;62.8403496;280.3322216;249.634778;5161.801704;340.4079411;376.9709527;156.0954192;1767.153065;28.5351265;226.2102123;129.7082843;35538.76066;0;92.36628034;725.8112415;0;1078.486321;13.48747414
A004;JUL;2022;Late dry;Guarapari;high;23.5;37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28288.48004;11.31729481;933.4993628;949.1197927;1640.639049;0.230011361;0.449957191;0.648780246;4.193530846;0.137698874;0.04275961;0.158677065;0.223862287;0.070508529;0.165361485;0.12021089;34.12164493;0;0.002859188;0;0;0.684748189;0.016643283;29804962.73;11923.98989;983542.1935;1728590.07;242.3417605;474.0783977;683.5599162;4418.336735;145.0806057;45.05185747;167.1833907;235.863048;74.28833508;174.2261472;126.6551288;35950.83064;0;3.012462921;0;0;721.4560211;17.53549234
A005;JUL;2022;Late dry;Gramute;low;25.6;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30609.33877;29.90278022;943.8313598;951.4989646;1631.125395;0.085324659;0.253713182;0.460353775;7.851619844;0.250457222;0.021702522;0.076180925;0.686108592;0.023302313;0.187172106;0.122866855;34.22854384;0;0.00140105;0.333444518;0;0.10463285;0.014237934;32169597.57;31427.02339;991941.5522;1714269.228;89.67393816;266.6457782;483.8195231;8251.842762;263.2238518;22.8087706;80.06411772;721.0818063;24.49010838;196.7128843;129.129783;35973.28543;0;1.472466317;350.4412826;0;109.9663307;14.96368818
A006;JUL;2022;Late dry;Gramute;high;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26738.17784;34.41856023;911.3635277;840.0278927;1442.674662;0.105342753;0.233407377;0.475344787;7.346533356;0.247656716;0.081941951;0.074751522;0.601332963;0.022504597;0.226699451;0.323854632;30.35208488;0.000422105;0.015949393;0.49431707;0;0.270839684;0.016189157;31830107.15;40973.11593;1084920.555;1717412.808;125.4038755;277.8566981;565.867861;8745.58264;294.8196337;97.54670219;88.98695238;715.848805;26.79029743;269.8713381;385.5284267;36132.23459;0.502489015;18.98674261;588.4531629;0;322.4174894;19.27216644
A007;AUG;2022;Late dry;Santa Maria;low;24.5;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30101.53734;31.2908338;761.1774895;898.8653717;1532.292893;0.0460696;0.286722852;2.101072537;8.077577289;0.37464857;0.044970755;0.182294883;0.729976452;0.009199043;0.185818656;0.103008995;32.76916256;0;0.008371786;1.017250826;0;0.218317164;0;33488371.32;34811.47988;846820.351;1704696.767;51.25305882;318.9830876;2337.471887;8986.415034;416.8016497;50.03057879;202.8055461;812.1087708;10.23406135;206.7257922;114.5989135;36456.14082;0;9.313726057;1131.705434;0;242.8808263;0
A008;AUG;2022;Late dry;Sao Mateus;low;22.42;29;8.25;-62;38.2;49.7;NA;NA;23.3;24.2;16.1;NA;28758.68675;19.72413008;744.7769689;890.0191838;1519.487721;0.046481456;0.103836104;3.084293523;4.129016103;0.151329204;0.012665856;0.07907127;0.480954426;0.005927532;0.160470451;0.095900248;32.70455422;0.002196161;0.002151185;0.511351576;0;0.112545591;0.002652708;32312434.69;22161.46623;836810.0176;1707252.775;52.22522901;116.6672647;3465.423643;4639.243938;170.029148;14.23099241;88.842209;540.3865832;6.660005309;180.2999917;107.7507653;36745.89808;2.467543052;2.417009353;574.5399485;0;126.4529945;2.980506507
A009;AUG;2022;Late dry;Sao Mateus;high;23.48;34;8.29;-61;36.7;16.3;NA;NA;22.4;23.2;15;NA;28199.3786;18.24370803;772.0876337;925.2456362;1589.170323;0.053720678;0.146052614;0.732265929;4.319864981;0.261463314;0.02493361;0.102146615;0.587875057;0.009683712;0.166824285;0.096094508;31.66669429;0;0.002362432;0.344246765;0;0.135755963;0.016362038;30477721.27;19717.69151;834467.7387;1717565.866;58.06099052;157.8527994;791.4286764;4668.88447;282.5879998;26.94809828;110.3994559;635.3718778;10.46609902;180.3026989;103.8583747;34225.17551;0;2.553302047;372.0598636;0;146.7242405;17.68399412
A010;AUG;2022;Late dry;Caravelas;low;34.5;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28318.04155;51.43095153;797.7916268;964.6070245;1658.266388;0.104369668;0.185354949;0.934486245;14.16288652;0.253062325;0.035265942;0.125562754;0.513933753;0.027046421;0.179897796;0.105198802;32.88837381;0;0.003282025;0.344183162;0;0.214578592;0.016416876;29357075.81;53318.03546;827063.8784;1719110.836;108.1991579;192.1559186;968.7740407;14682.54549;262.3475868;36.55990568;130.1698524;532.7908053;28.03879722;186.4985344;109.0587149;34095.10088;0;3.402447899;356.811793;0;222.4518235;17.01923788
